"","year","meansize"
"1",1963,543.885680063335
"2",1964,519.668004472072
"3",1965,498.362478872732
"4",1966,554.127423670248
"5",1967,544.328016421197
"6",1968,531.367325539991
"7",1969,520.162367572819
"8",1970,509.012132353997
"9",1971,552.051976243825
"10",1972,543.073769956773
"11",1973,571.107289548551
"12",1974,526.73758053916
"13",1975,520.898976774646
"14",1976,534.66751886621
"15",1977,560.924115623431
"16",1978,535.968600152776
"17",1979,537.214431898182
"18",1980,522.839142879399
"19",1981,555.884401632306
"20",1982,561.471522916478
"21",1983,529.793265662354
"22",1984,526.602884766522
"23",1985,541.645511609781
"24",1986,553.312751855966
"25",1987,538.712528900238
"26",1988,551.350481001376
"27",1989,530.253625338498
"28",1990,524.998129566021
"29",1991,533.826440681343
"30",1992,529.941667258542
"31",1993,547.864535162875
"32",1994,521.935095691288
"33",1995,526.598733405258
"34",1996,559.175876828023
"35",1997,539.530899946971
"36",1998,530.39797441773
"37",1999,522.615093613426
"38",2000,549.353896597069
"39",2001,574.18070073854
"40",2002,529.911436929247
"41",2003,553.221474770505
"42",2004,528.938766632963
"43",2005,552.398282542677
"44",2006,529.203214504533
"45",2007,528.710941598797
"46",2008,523.32473821667
"47",2009,536.817832204925
"48",2010,521.65428797591
"49",2011,538.902741918637
"50",2012,521.655216002932
"51",2013,541.788457756279
"52",2014,510.489259924925
"53",2015,509.804734556851
"54",2016,514.180950710232
"55",2017,522.835346891089
"56",2018,504.597818158343
"57",2019,505.551673741841
"58",2020,511.13980529666
