"","year","meansize"
"1",1963,542.226329525642
"2",1964,506.479751528475
"3",1965,488.576315990355
"4",1966,546.586162326203
"5",1967,537.108243116569
"6",1968,523.326746389338
"7",1969,515.049119446042
"8",1970,499.318579817588
"9",1971,545.86978100144
"10",1972,536.141273365049
"11",1973,567.810715185612
"12",1974,525.544627892422
"13",1975,515.99889676699
"14",1976,532.469359114865
"15",1977,553.168912018004
"16",1978,523.686615181749
"17",1979,529.050091644056
"18",1980,519.176554019095
"19",1981,556.001837099611
"20",1982,557.083927496769
"21",1983,517.003442227703
"22",1984,512.510694445639
"23",1985,534.528188679084
"24",1986,547.886586510402
"25",1987,526.917326523239
"26",1988,543.540835504681
"27",1989,524.636679263432
"28",1990,509.73039821391
"29",1991,528.572813606177
"30",1992,520.647669588101
"31",1993,544.905336094058
"32",1994,504.397596607633
"33",1995,518.880354262559
"34",1996,554.408388181639
"35",1997,532.623512328385
"36",1998,520.59191484704
"37",1999,512.771675845916
"38",2000,549.637006754087
"39",2001,580.093089700866
"40",2002,527.28950985633
"41",2003,546.434806831643
"42",2004,520.416947760655
"43",2005,553.125582660175
"44",2006,510.727804523544
"45",2007,523.950235187445
"46",2008,517.597805884493
"47",2009,525.39742073385
"48",2010,514.49560511593
"49",2011,540.056557907111
"50",2012,516.510175290869
"51",2013,537.594416955216
"52",2014,499.594221679835
"53",2015,497.6901205064
"54",2016,499.190052020511
"55",2017,515.116372898378
"56",2018,493.316419670235
"57",2019,491.262386379379
"58",2020,495.53373965487
