"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1960,534.128448110084,542.02189758478,501.711039583819,528.89855560439,555.235907728966,523.208607444582,524.388111217711
"2",1961,565.187626001987,548.929589175957,530.341372442189,554.569710851471,521.943973885405,543.555609223941,549.531683255465
"3",1962,550.46870938409,561.846629690964,537.571845221746,544.580969605709,529.274244670518,546.850549104662,517.466975690963
"4",1963,554.99128463543,537.158670663988,539.689433999074,541.315334747816,514.769528571112,549.329898072186,548.88240998478
"5",1964,533.69225465682,557.291604401342,517.701726873803,524.089587179673,556.708407688032,522.718153220309,528.447409718416
"6",1965,524.112406593589,534.484661721475,508.015845560772,523.707341125596,552.396386805831,524.82335884382,539.253911690908
"7",1966,556.642317105191,553.067116413546,533.802979356336,549.673065922215,559.203377705186,553.995867687241,533.145772561651
"8",1967,554.443175764048,540.211346768189,539.70907723368,545.270860185395,520.857922954178,550.629307732509,527.349887698679
"9",1968,577.012599462096,559.674225384149,533.708378242321,549.159113462928,575.248511860516,549.687209626464,535.677723912263
"10",1969,562.524721967241,542.085541526622,524.718323112236,537.787155414205,560.670158486146,552.814002927441,539.814207711087
"11",1970,529.055451296334,559.300696643004,507.731708942802,522.18508332416,525.632028986393,529.546562048317,539.064027580133
"12",1971,602.441169228577,564.822453639983,533.539488132903,529.949093939015,580.521064986968,555.621324010388,549.3566213455
"13",1972,568.383374247975,564.836034842542,525.805908955746,551.556344430859,575.515096482303,559.340202849305,544.189975631826
"14",1973,563.421279720211,579.848853855456,548.130183691586,550.048303240838,583.858433064055,559.419684024212,567.726847982801
"15",1974,544.392093527051,554.096171489675,530.767501821224,541.006781590657,538.936856882921,539.603082704187,532.793526088118
"16",1975,532.904835712314,562.350649821934,515.193880967833,543.180080271851,560.273228794217,539.61021319757,543.309507114402
"17",1976,545.934067967375,554.574973207852,520.512952183563,558.353737463399,571.315643773131,545.146634486022,539.51268946782
"18",1977,563.664840575647,567.262029233032,538.032566515658,559.386959149083,574.60177285576,570.787748576277,549.977553558119
"19",1978,550.623031719728,554.881637778023,539.279982890445,543.094899113456,561.973452923449,555.207213744818,521.440436306798
"20",1979,541.877420098942,535.25523662013,524.197567352425,533.108564932441,546.180184415918,532.38787280867,530.121475276686
"21",1980,545.600585767767,564.411493786686,520.769906937228,530.805811220651,552.294944739329,543.189300889467,540.632356588189
"22",1981,549.796394076955,555.645308032233,533.105296768482,552.999117305202,550.838985134987,556.9189373426,543.245942100877
"23",1982,558.062429685495,569.806775743532,535.976738002573,557.871499351679,551.521090682287,565.258129380283,550.14279418732
"24",1983,558.991874479872,559.216461029885,532.809242133273,551.815130949867,547.222798205189,542.477597103844,530.731081657543
"25",1984,547.9102510274,575.885440877014,520.907296436251,537.700205868133,562.296844519584,533.325383227849,550.622996382745
"26",1985,523.753387126539,545.314586410896,508.127788406131,538.507176572437,549.216721517656,536.931537835448,533.52287754731
"27",1986,533.953988212891,554.687517300777,528.397091301338,541.206616767191,545.658777274956,542.794495223377,531.315492836884
"28",1987,544.428192361188,542.775434829986,515.720991128259,552.827169713792,537.626657406536,542.962871598999,509.60243258722
"29",1988,541.464899497466,551.721875772599,532.90345730713,540.348577455665,551.358770581452,546.420356672574,525.140047571366
"30",1989,534.958116293191,544.994854594502,516.1828436053,522.514984412301,543.683815889864,525.930185846809,527.147118022282
