"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1963,551.723196850093,531.865727906124,545.215640312239,539.081422392063,563.65655723605,547.744496924752,534.135956397113
"2",1964,541.089652704117,546.34178536217,510.833708879487,505.754111523597,538.879599626934,521.016193680896,521.578190333871
"3",1965,519.137568118386,540.656817218195,492.810383364191,519.442411065054,534.596977835251,516.585727642268,539.616428558781
"4",1966,568.809953017385,550.806884441124,555.042034747743,555.417540776062,547.897356660027,558.769812371347,531.540802831406
"5",1967,562.234425538408,538.752461909281,539.579678380941,549.030226387304,506.514894644366,562.607066015893,532.453348148831
"6",1968,553.613859610651,546.628203357526,515.465644852888,533.686394284522,524.959140399781,538.994091778845,552.334691891274
"7",1969,537.774621193364,549.017397528661,514.219450147107,525.6779594538,529.210255218147,526.492458011621,527.461800002817
"8",1970,505.553424290276,538.005392525228,506.310065541423,516.475409762801,551.228206611699,506.789982033749,524.724559245629
"9",1971,562.38047954098,556.890386990839,539.254296102979,560.8226645893,556.475822969664,575.198807546301,547.688386257221
"10",1972,547.456378485387,528.89464656354,546.199147100927,548.83481396289,532.454103287678,555.952771029456,521.271665305065
"11",1973,587.721669358353,592.699411749189,540.107816387816,565.673663611354,585.938593761441,583.083180272109,564.801080718278
"12",1974,550.068956947465,532.098405263537,522.033613794856,516.601847484784,530.402474337561,542.541994468347,526.498250843519
"13",1975,562.76989607781,565.893509936751,509.571758529862,528.29469829382,532.300815109802,529.361449991221,549.419375263463
"14",1976,NA,553.119107475479,524.201157352171,526.770795879905,573.965953158227,NA,543.91637005461
"15",1977,570.451939949576,591.745024816547,533.751545662834,548.481711669942,581.10889362886,567.506234772405,560.597894832782
"16",1978,575.547313568112,550.766645038159,515.699239784946,553.879639957798,583.893253054592,540.745676028528,528.23727527846
"17",1979,549.775719543694,552.277143372159,534.276083015982,541.067675269947,524.567183738656,536.798744437653,542.801843163836
"18",1980,528.012243084818,560.653325780309,512.77658145378,528.466318204269,562.308725128065,522.780733727974,528.15291356664
"19",1981,543.624638854251,567.259287275298,538.325779055324,562.07911104923,574.899036927683,563.604843417278,556.452582395107
"20",1982,567.816363491668,575.684736961065,536.551979286043,566.577314692115,570.587478715528,575.929707206088,545.54648735381
"21",1983,543.369752462068,537.232783161733,522.524250265069,530.658780084995,553.530822380787,533.656081768549,520.872902928184
"22",1984,547.650481711035,575.677334027145,517.281817115858,530.44737036486,556.337109632247,524.111684852905,548.045803197495
"23",1985,550.036252487728,543.941507726187,540.335448488559,531.507863652262,531.850886119737,543.428733628129,532.236210411941
