"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1963,551.142484554042,529.536900451477,546.28025625682,536.457618983607,560.897456707716,547.162403517022,530.074708252589
"2",1964,NA,542.120852684444,NA,500.043778859319,532.705597884988,508.511034071423,506.564046378687
"3",1965,506.892827521615,535.266706940898,484.200675416553,512.443745622797,527.903953490754,500.441438366264,531.974324558107
"4",1966,566.602971155341,547.985865493154,549.607667968677,543.335301989187,543.944785957494,554.957855197133,520.291813739826
"5",1967,553.767672102203,534.668619751407,536.13992559953,534.624746256669,493.06072522478,557.529961026307,521.49977683023
"6",1968,548.620509695823,542.995820171126,511.293487568114,527.997703276827,517.937914014807,533.298581974614,539.5696813345
"7",1969,532.88184616479,548.678951662977,510.310904401368,515.951592019392,519.80770662349,520.294271895867,518.233242475577
"8",1970,493.986884572396,535.074740141891,496.673432107832,491.882980200937,544.867224718115,505.198815394784,512.347444725997
"9",1971,560.821465183789,552.890795945773,535.572485634178,553.305705672787,548.318392772746,572.934894392075,533.973723401372
"10",1972,532.893736370617,525.189725485969,545.528256413098,541.59735097821,524.270622590065,554.807055333875,511.477352642791
"11",1973,586.676071247676,593.007039805319,538.531184005957,564.112797387109,583.852237717365,583.083180272109,557.33989015018
"12",1974,550.142029766065,531.960323568955,521.018072603813,512.798458545164,530.623249367125,542.541994468347,525.554300272462
"13",1975,557.934974234741,566.023976521668,506.811412577146,520.080222567064,529.579718668492,528.802253440466,545.978431953854
"14",1976,NA,550.394849785408,526.718058640893,523.415940270943,569.663741427764,NA,534.366810426488
"15",1977,563.375870201941,591.963744013182,533.751545662834,548.481711669942,575.080849203334,560.748569112892,556.424310229119
"16",1978,567.911470150502,549.588005778854,500.429275797537,535.562300330062,586.539383776598,538.749159219756,518.011748102794
"17",1979,544.313134963586,554.016264330838,524.401585934491,514.427922814983,524.055961481982,535.793905681023,538.576915468252
"18",1980,516.507356838159,560.979820557356,508.627801767469,516.463806209943,562.972782308286,520.652144479288,518.419671522514
"19",1981,547.934225612832,567.439072965588,537.624770326163,558.588973278004,576.3514109892,568.84519656404,546.280927488001
"20",1982,562.80107643262,576.393936570062,531.98112920508,560.317921336551,576.557540989209,574.932747069366,529.407325930682
