"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1963,552.781487221991,542.500183710961,542.799326775072,543.879213549537,568.542763278506,549.347742290749,540.084053961103
"2",1964,541.089652704117,557.279800357849,510.915821693673,522.289154668464,547.602122723582,529.737480144236,536.268587259253
"3",1965,527.541491721992,555.627199003457,507.289703217321,536.997416236039,543.486868714349,531.03043753796,553.517774749005
"4",1966,570.287161657693,561.465994962217,561.626672146479,566.416956256906,556.220650385521,565.462072062276,549.026787483783
"5",1967,569.784342919208,553.667107060989,547.015764470816,569.476724446729,534.94042251169,571.801776055852,545.827881826141
"6",1968,558.468827739294,563.781064153478,531.548665422624,548.669515748688,549.789834905023,549.392876129718,569.638285172947
"7",1969,547.079466757728,550.455664463187,525.585267204829,543.390006636738,545.800314687787,539.186581743516,540.676316350837
"8",1970,522.741459175063,553.006251759407,516.989519010103,532.657008652138,561.568444212246,514.15024078934,547.042504463307
"9",1971,563.722425487141,570.497432589004,542.755186703401,565.852377605378,568.991286706581,576.988041663257,564.882906222796
"10",1972,566.100077070079,554.119197602593,547.997380440507,562.567494320988,552.589734428963,563.585970263058,542.514820051332
"11",1973,590.567900881173,589.567974048953,549.996719791778,573.585484872682,592.748884407728,NA,589.291681515192
"12",1974,549.424682443127,533.951668623176,534.750470612842,548.430662645281,534.024592074592,NA,530.542435842636
"13",1975,569.484925673583,564.154870639359,528.220460418529,546.973923971417,548.082911305552,533.455546026301,561.565897321936
"14",1976,NA,566.145423052303,519.498736270493,533.215840589082,579.558343647277,NA,557.028657516182
"15",1977,573.869643004724,585.597719025402,NA,NA,592.154542230861,576.248119244239,575.881028255789
"16",1978,582.512118977432,555.641532235914,537.409419836153,566.93342096231,580.719162014538,564.972882490793,539.535957188268
"17",1979,554.021468863423,546.300233551804,543.527944167768,555.858282741825,525.181448378963,540.244180774029,546.067626148557
"18",1980,535.094988388082,554.919329768714,520.524394669727,544.969543163847,560.426438608916,530.550908740508,539.675510011787
"19",1981,542.399763036001,566.881991873032,538.664228419121,563.414356690552,574.081873714745,560.163493491995,560.346374090157
"20",1982,570.837187921227,569.419125113203,541.064529871638,569.98532878047,568.419893558513,577.11998971051,554.165422086245
"21",1983,544.390814921336,537.932171962769,526.507195520099,541.096906985666,556.748128622834,534.495131170012,528.498382264641
"22",1984,553.806715597839,563.578695564458,527.543063440618,544.424339334708,561.361629556607,533.221237723351,559.058954155246
"23",1985,554.250154936731,548.325453948699,538.656186194909,541.806575936129,545.033673360529,546.783410172839,547.197742744045
"24",1986,544.757318373051,562.933858184984,537.649492377088,563.351935093672,558.614624061766,565.360265051214,553.595728384006
"25",1987,557.182304611766,579.420107946861,517.329723099226,565.880421791555,565.202559404473,561.920958094003,550.599836723125
"26",1988,559.853258363683,566.898380346932,549.668260779458,555.153367008127,566.60219328386,561.818636011751,556.672250632311
"27",1989,550.548530338193,538.292310515283,519.844548123731,532.666187873268,552.147739902865,536.228202206433,538.861893031798
"28",1990,541.467959368689,548.297964981794,517.014416101309,540.897459579663,542.975238009655,543.517251266976,534.922253886343
"29",1991,536.060685650135,547.707147389996,521.202743673665,552.522559090483,543.992245708736,541.030296485041,527.43186076448
"30",1992,533.820094876784,537.693015789586,524.750604308538,549.113006432985,541.848497039104,545.905513641049,520.304843084124
