"","year","sddize"
"1",1960,38.4607307964254
"2",1961,43.5538420333727
"3",1962,39.5286805754533
"4",1963,44.1121298213922
"5",1964,39.2461425004379
"6",1965,35.2195271429261
"7",1966,41.4209731883432
"8",1967,44.0080662820306
"9",1968,49.071524329532
"10",1969,39.5391085104445
"11",1970,36.2631383781065
"12",1971,49.1486358813892
"13",1972,44.9650320951542
"14",1973,41.9477523911529
"15",1974,37.9961671525687
"16",1975,38.3016869922669
"17",1976,42.5443708270937
"18",1977,37.1671483129348
"19",1978,36.48717856162
"20",1979,36.9334309610433
"21",1980,42.7650460436174
"22",1981,41.570230366192
"23",1982,44.8172536607796
"24",1983,44.4856621381607
"25",1984,43.2931066238211
"26",1985,44.7630492810194
"27",1986,44.5441603619077
"28",1987,45.4890933274875
"29",1988,41.7378107865898
"30",1989,43.6450973915939
"31",1990,41.791818972584
"32",1991,44.5638232115673
"33",1992,45.237921405113
"34",1993,47.601999132005
"35",1994,46.2128842987209
"36",1995,44.4186935161811
"37",1996,44.6004446374922
"38",1997,46.7226204823761
"39",1998,50.0969469139432
"40",1999,42.7762183235879
"41",2000,43.1250356875139
"42",2001,43.2677821863956
"43",2002,50.4618087625486
"44",2003,42.265878918216
"45",2004,44.5984459239879
"46",2005,43.4457076656103
"47",2006,50.3138857749426
"48",2007,43.0417028649947
"49",2008,44.4355142334489
"50",2009,41.9698475207722
"51",2010,41.4214842729962
"52",2011,47.1174688456299
"53",2012,42.4969013082595
"54",2013,40.5127404520336
"55",2014,45.3968123010387
