"","year","age","sddize"
"1",1963,"1.2",28.0349760509494
"2",1963,"1.3",29.977900566026
"3",1963,"2.2",29.3572674461169
"4",1963,"2.3",24.7775872887863
"5",1964,"1.2",26.2301608348191
"6",1964,"1.3",27.0044601714298
"7",1964,"2.2",30.1244876086021
"8",1964,"2.3",24.2339121749146
"9",1965,"1.2",28.7001762499688
"10",1965,"1.3",29.1231895213322
"11",1965,"2.2",25.1371553500644
"12",1965,"2.3",25.7509089626104
"13",1966,"1.2",31.2086731494945
"14",1966,"1.3",28.6959213077695
"15",1966,"2.2",31.03835251634
"16",1966,"2.3",25.1407448547639
"17",1967,"1.2",28.0692159094289
"18",1967,"1.3",27.8022240521566
"19",1967,"2.2",26.6547187286046
"20",1967,"2.3",28.3731814833418
"21",1968,"1.2",27.934295448873
"22",1968,"1.3",27.2942793465291
"23",1968,"2.2",28.6910261831324
"24",1968,"2.3",27.1901585475116
"25",1969,"1.2",25.5324615331616
"26",1969,"1.3",29.712807252654
"27",1969,"2.2",25.6833486006168
"28",1969,"2.3",28.2407031452447
"29",1970,"1.2",27.7734258774896
"30",1970,"1.3",29.0979515162908
"31",1970,"2.2",26.7001502185028
"32",1970,"2.3",26.1151682921354
"33",1971,"1.2",29.2665042957994
"34",1971,"1.3",25.7553706588844
"35",1971,"2.2",25.4502789202343
"36",1971,"2.3",26.2478670556651
"37",1972,"1.2",30.9330685693493
"38",1972,"1.3",30.9639732250729
"39",1972,"2.2",29.7190667752835
"40",1972,"2.3",28.3247880095442
"41",1973,"1.2",34.6887887220111
"42",1973,"1.3",31.9647866643045
"43",1973,"2.2",36.1615138613588
"44",1973,"2.3",28.0101472441386
"45",1974,"1.2",27.9512327902716
"46",1974,"1.3",32.1022184967652
"47",1974,"2.2",29.2731049368034
"48",1974,"2.3",33.7789204818307
"49",1975,"1.2",32.6804191280258
"50",1975,"1.3",29.4650712122994
"51",1975,"2.2",31.1804367276853
"52",1975,"2.3",31.2989569683084
"53",1976,"1.2",27.5154628608077
"54",1976,"1.3",27.8715420865289
"55",1976,"2.2",28.7790900498464
"56",1976,"2.3",25.2351646983247
"57",1977,"1.2",32.3844441370101
"58",1977,"1.3",33.8230509862689
"59",1977,"2.2",28.2115149079312
"60",1977,"2.3",31.3563883495301
"61",1978,"1.2",31.5112751285151
"62",1978,"1.3",33.015998264217
"63",1978,"2.2",32.2890344808205
"64",1978,"2.3",28.7750434479926
"65",1979,"1.2",27.7389654796125
"66",1979,"1.3",30.2797877044649
"67",1979,"2.2",26.6834613442317
"68",1979,"2.3",29.5566419403028
"69",1980,"1.2",27.2537523465279
"70",1980,"1.3",30.0541310376228
"71",1980,"2.2",26.3405335097244
"72",1980,"2.3",29.4528394596618
"73",1981,"1.2",27.7152936449601
"74",1981,"1.3",25.2612145360141
"75",1981,"2.2",25.1420861253128
"76",1981,"2.3",25.733952991873
"77",1982,"1.2",31.5101300212143
"78",1982,"1.3",25.8515118557164
"79",1982,"2.2",29.7267956716282
"80",1982,"2.3",25.1590849543339
"81",1983,"1.2",26.3071248181682
"82",1983,"1.3",30.1976557361328
"83",1983,"2.2",23.2245410415231
"84",1983,"2.3",31.1793027924027
"85",1984,"1.2",29.5739833000297
"86",1984,"1.3",28.4092434041761
"87",1984,"2.2",27.5611500099571
"88",1984,"2.3",26.4015668895833
"89",1985,"1.2",32.7470049624951
"90",1985,"1.3",30.0519404924599
"91",1985,"2.2",29.1479683244523
"92",1985,"2.3",31.472633205152
"93",1986,"1.2",34.4512107323853
"94",1986,"1.3",28.4956459772134
"95",1986,"2.2",28.5989219036937
"96",1986,"2.3",27.7826116559174
"97",1987,"1.2",27.056874497382
"98",1987,"1.3",33.4399715862688
"99",1987,"2.2",30.7183118111816
"100",1987,"2.3",31.5710395526479
"101",1988,"1.2",32.6574023818821
"102",1988,"1.3",28.5174767450595
"103",1988,"2.2",29.0362588091399
"104",1988,"2.3",26.8203811808476
"105",1989,"1.2",33.7257321433929
"106",1989,"1.3",34.2658714571652
"107",1989,"2.2",31.2046967762308
"108",1989,"2.3",30.3314273805935
"109",1990,"1.2",33.9537262902069
"110",1990,"1.3",32.6210454023905
"111",1990,"2.2",32.045216233146
"112",1990,"2.3",31.2352034358012
"113",1991,"1.2",30.9428157119301
"114",1991,"1.3",29.8356335780044
"115",1991,"2.2",32.2703322784761
"116",1991,"2.3",31.3703495949403
"117",1992,"1.2",34.1913322425847
"118",1992,"1.3",30.8753194227505
"119",1992,"2.2",30.5150220535987
"120",1992,"2.3",31.4873692644481
"121",1993,"1.2",31.0586590685578
"122",1993,"1.3",31.4492062898817
"123",1993,"2.2",28.6725619261209
"124",1993,"2.3",28.8615553144306
"125",1994,"1.2",32.3683198398102
"126",1994,"1.3",32.3289609868476
"127",1994,"2.2",30.8690864862804
"128",1994,"2.3",29.0222407840563
"129",1995,"1.2",29.347488199291
"130",1995,"1.3",30.8128322354625
"131",1995,"2.2",27.7391762651084
"132",1995,"2.3",29.6196511125211
"133",1996,"1.2",32.035142045594
"134",1996,"1.3",29.0484759851791
"135",1996,"2.2",31.0909737803084
"136",1996,"2.3",29.2788481642471
"137",1997,"1.2",36.5634598418615
"138",1997,"1.3",32.9449341181454
"139",1997,"2.2",34.6870974078161
"140",1997,"2.3",31.8960839301644
"141",1998,"1.2",31.9909543111574
"142",1998,"1.3",32.3742981352918
"143",1998,"2.2",33.3185379858916
"144",1998,"2.3",27.8251231967643
"145",1999,"1.2",32.7688757878512
"146",1999,"1.3",36.9127691242782
