"","year","Egegik","Igushik","Kvichak","Naknek","Nushagak","Ugashik","Wood"
"1",1963,37.5876285977378,42.082338542826,43.3381096711407,45.2636929307428,34.6739830301728,38.6542010553427,42.6298344142434
"2",1964,32.5452735525481,37.5422335119638,27.082755610912,39.8724988523126,33.0397955380363,30.4286277805684,35.8500076184772
"3",1965,33.4469131008019,35.350039424363,25.5859600139999,46.1044481969164,39.4452009429159,35.2012287475558,34.6308550550384
"4",1966,31.662989551856,32.0553116596307,35.9315073658313,39.5872393419219,34.240153608627,37.3786461827184,43.4073919535371
"5",1967,37.7793883509531,41.1315040384767,33.2124941198158,50.100597248676,33.1473138640989,39.5334997387777,40.2934041379821
"6",1968,39.7033570181632,41.4091517139599,45.0751292330106,52.5813895051067,37.4493446065253,52.9168548552724,43.2932565567288
"7",1969,36.3749531808343,40.3895959200664,39.3013967437317,47.327437419532,49.530749616825,35.1912531619985,39.7564972213231
"8",1970,34.387989921632,37.6429992576608,28.2239580505352,41.810632113041,34.9159807516318,27.2543761545271,41.4709967125282
"9",1971,35.2222393104581,33.6941041214058,33.618158251596,34.4144110044184,40.385446673817,26.8361902415243,37.5716497469749
"10",1972,41.864338327775,48.4414607558134,37.9086519907447,40.9328317570909,51.6297401448097,41.9368788303425,42.3048288468984
"11",1973,37.5974603991248,31.7789230018792,50.3254868789774,46.2800668288928,32.8292338319213,42.6498050436085,39.5544357697293
"12",1974,39.8288487347586,33.6369594952832,32.6790535070453,47.9415081656369,41.5220441734668,36.9781536139686,30.4148220812947
"13",1975,40.3050117013391,37.1624239735208,32.2206154713887,46.0512427635159,36.9996269104847,30.6532668036582,39.1644592492819
"14",1976,NA,40.7602789057248,35.4544661485804,44.9631058622075,36.9280460299926,NA,37.6587264793903
"15",1977,40.7171741028268,35.3993044894784,36.3876502164142,45.8801064064345,37.2660916170747,42.6053015623386,46.250171844855
"16",1978,43.7385521878507,43.0431730241696,46.9372661669467,45.1501343285699,33.8496851014718,78.0076861418966,43.4225367197459
"17",1979,37.0735889465867,39.8590780564448,32.9830192765142,45.5381293982106,30.9625859327075,25.7652538314667,39.0283621703748
"18",1980,39.1670404375293,38.267822377812,29.8644629965738,44.4577859807938,31.7007277547214,36.6786187185351,41.8041450158605
"19",1981,29.9313003203316,33.0864826302319,31.3801173778703,36.3326359763625,28.4790415220079,35.1311627172999,35.6399260145428
"20",1982,35.4479213973896,30.0649464313938,40.9614985951031,37.8996981724263,33.1180710104397,38.4705136698331,45.3955734326931
"21",1983,27.8127847541727,35.6611273318029,28.9434862563716,42.1658826572043,38.6558252284412,29.7159433706463,32.4235114923394
"22",1984,44.9750604818105,33.2878799668692,35.532369380098,51.4848875832874,35.2783800754319,39.4516266145421,38.2264838703403
"23",1985,40.5569663494606,39.2929358132798,40.8468055625723,46.7601825491193,51.3613187286494,38.0692395002906,44.2956764805831
"24",1986,34.7977582064228,33.8421774285492,37.3310770694899,38.2276580636453,44.583222940802,36.0161275554861,39.8598401760448
"25",1987,44.3203567921459,43.6131961411912,28.6486809470046,44.3169899110368,42.5096165600804,46.9228367155459,46.2855304586672
"26",1988,43.9000146931183,35.6196812978212,47.3806484129287,55.5671381899844,51.4197705984716,49.926839809575,43.6863151950887
"27",1989,44.5230478759336,48.9146166489603,38.938250884629,52.9983019560257,52.2837896675503,36.5077022012299,47.4025842294679
"28",1990,47.365138514432,43.2613369920602,39.8933736384556,52.5039207332823,53.109783843894,47.3972853068114,47.8713901851793
"29",1991,44.5030771945573,33.707001018199,43.0484806049148,41.8636221866598,43.2697892474284,41.1914801447228,43.9757582387291
"30",1992,41.8195111286643,38.700372832519,40.7437689582485,45.8171894569012,48.9188752293828,41.3472145096653,40.6071583076327
"31",1993,37.5426282829817,38.3520980618963,49.0648175947417,40.6103299063117,42.1123073643026,37.2723603130162,40.4071514919052
"32",1994,43.985191943301,40.4861823519092,35.8064470226419,52.9633250668846,36.0922071377481,43.4998973858236,47.1280684034163
"33",1995,38.5812033383245,36.4831376627336,35.3496068806631,45.0738898427587,53.9497110321485,37.8399650177685,39.5180984242602
"34",1996,40.2704087294805,31.2168738693128,40.1638272400784,33.0109364682053,43.2948253642113,34.9509076856527,42.4046965918103
"35",1997,48.3858616104453,45.488819884639,46.3152197973952,56.5325501805533,41.4081136540865,51.7832363685875,48.6651200797751
"36",1998,44.1178129302225,46.2863077039808,43.9036517696422,51.297227771107,41.5826014133212,43.7378269519644,37.7381190489237
"37",1999,40.3697360604481,41.0752592249982,38.7152133043097,51.9298992042076,55.7682719466165,35.1464047752736,43.7816606666233
"38",2000,36.1123163061732,35.439352584668,38.566828319599,42.0524822286828,41.2966426178153,34.981334990433,46.1851954431059
"39",2001,38.6225553610584,32.4048551913068,38.2768817858665,32.1732889774729,36.0948043495062,43.030468598968,36.561803101518
"40",2002,44.4518356330053,47.5377658351656,43.4552407419293,56.7939041067075,52.1056326054798,39.4332840065264,42.328866433898
"41",2003,58.3870999170077,35.7204773231914,52.8729458911645,51.9276912622437,33.4677375383534,42.0104774063478,47.0613226474614
"42",2004,34.1043582231455,44.5890389730918,31.526618582821,55.9259654201069,42.8932898912118,42.6398801932024,47.0292158910898
"43",2005,44.033237725773,29.0703507738324,40.7764412117026,40.0727867543367,35.2810653973443,38.438209440218,47.5089184793291
"44",2006,48.9247169467506,46.5576590364426,44.7822493363948,54.826309466736,40.3507198461584,42.936164919296,44.8080425944606
"45",2007,43.8470805637732,37.6816202037636,42.4762592557841,54.6811000373527,43.1341385181382,39.0664339309965,43.1402995188776
"46",2008,43.3644396974436,36.8390712546142,38.1861700014468,40.1597651897909,41.5313475459576,40.3397086969916,41.9032406834529
"47",2009,39.4851981272336,37.3280885018708,37.622111302868,48.8625798020422,39.7643426903309,46.9191441140175,46.3821378481185
"48",2010,47.3043428465199,38.2500589722456,39.7081205478504,48.5801960323127,44.8828643392495,45.6507982453906,49.0620432052453
"49",2011,46.2612006925112,38.0469617562672,43.0595904982399,50.059867867817,33.3116064766671,42.6155859292083,46.6416364128594
"50",2012,44.3396563476802,36.2018448105149,35.1696405716754,46.6868411567259,42.7696048568727,41.0069628791304,46.4881693030561
"51",2013,50.3231744067233,45.5885509906974,37.0918357974614,55.3572682682717,32.4978022398785,39.0194076150499,53.5165820956733
"52",2014,56.9874761143521,46.996987737638,34.7485812156794,52.6474799120773,44.3403904954039,62.9244769327883,45.1661884183672
"53",2015,47.6374033940192,39.7986029074324,35.1765888499536,45.9574446311978,35.5171742287973,47.8792850551991,47.7583902080669
"54",2016,46.2798329864107,35.0712758393656,33.2093284506884,45.175859050523,37.0849284947844,35.9776900687185,50.2391719522957
"55",2017,40.641644058265,34.3710212892937,36.4089633647073,44.9126758772352,34.7105849579987,35.6540571372209,38.1034760225667
"56",2018,60.1285095991054,43.1127016712186,43.0314043073428,51.1958948783254,36.8328201081496,39.8278377827576,35.9637200771581
"57",2019,38.6505573926506,32.3167240906034,38.3172242186926,47.4359737922829,33.9514560262737,45.7121022509206,42.4076657481141
"58",2020,42.1736503204029,37.7128471168472,37.72934226382,46.0372484789329,44.8510400726624,46.8728319951352,38.9091392296763
