"","year","SaA_anomaly"
"1",1963,13.8834242826134
"2",1964,6.41979093290814
"3",1965,-17.1129367828347
"4",1966,-0.188021103881125
"5",1967,14.5846249869394
"6",1968,9.13836124045921
"7",1969,13.3301176444778
"8",1970,-6.91127894169979
"9",1971,10.0023314435785
"10",1972,5.21684349702878
"11",1973,16.8085900993475
"12",1974,8.19289233764773
"13",1975,-1.15896956773172
"14",1976,8.57434101306689
"15",1977,21.150845380154
"16",1978,14.5645692294914
"17",1979,20.6349158867695
"18",1980,1.51617346720517
"19",1981,18.1669352457479
"20",1982,13.4642706975962
"21",1983,18.5799750405417
"22",1984,0.654146198422296
"23",1985,9.86274654389144
"24",1986,13.1717118416649
"25",1987,13.2760973102036
"26",1988,15.7035550890091
"27",1989,6.68989990172354
"28",1990,-6.43686526212528
"29",1991,-4.75607213610579
"30",1992,-7.24455619832593
"31",1993,7.98591775772734
"32",1994,-7.56183888174977
"33",1995,1.88949572333264
"34",1996,9.05504577754049
"35",1997,5.77815063800156
"36",1998,-4.49574163341409
"37",1999,6.31213435552615
"38",2000,3.2593052111944
"39",2001,15.5435036203883
"40",2002,3.70554085660471
"41",2003,12.7548158236008
"42",2004,7.13879656998246
"43",2005,5.2217085804222
"44",2006,-7.3314888427566
"45",2007,0.965093969713541
"46",2008,-9.70195462047207
"47",2009,1.06716297322254
"48",2010,-8.12112125747153
"49",2011,-1.84934689729973
"50",2012,-5.70998308063248
"51",2013,-3.60721203645664
"52",2014,-6.36833734912833
"53",2015,-13.9972638180523
"54",2016,-8.08318489001187
"55",2017,0.859744309455031
"56",2018,-18.5186700546248
"57",2019,-14.1712661980967
"58",2020,-25.4143716970586
