"","year","SaA_anomaly"
"1",1963,15.2318960407258
"2",1964,1.35528790982001
"3",1965,-19.3201649515215
"4",1966,-3.98494866244318
"5",1967,15.2356766727121
"6",1968,9.08135690735915
"7",1969,16.1923955204729
"8",1970,-9.18682595466444
"9",1971,7.65290091388589
"10",1972,3.55684353763793
"11",1973,13.4141853642919
"12",1974,12.7785888765972
"13",1975,1.19618016700034
"14",1976,13.0913106594444
"15",1977,17.6708962288741
"16",1978,10.8470986783615
"17",1979,20.9691365177398
"18",1980,2.70239315577985
"19",1981,17.5403411147072
"20",1982,11.9001311094718
"21",1983,12.6229042365705
"22",1984,-4.26512214439182
"23",1985,8.68256846336584
"24",1986,9.10194208744239
"25",1987,15.0360380826536
"26",1988,14.8097422635922
"27",1989,8.44490006855323
"28",1990,-11.6351975235975
"29",1991,-4.5760728517801
"30",1992,-8.27594481160036
"31",1993,11.5085355397328
"32",1994,-10.6680081650131
"33",1995,2.09777309789442
"34",1996,7.7812565647852
"35",1997,5.2554071453209
"36",1998,-5.33472640490042
"37",1999,2.82804777547159
"38",2000,4.92394830721891
"39",2001,18.558913257957
"40",2002,4.48048350355819
"41",2003,11.2038262784445
"42",2004,5.47112043605149
"43",2005,5.95371632655636
"44",2006,-13.4131460322072
"45",2007,2.98114487939857
"46",2008,-9.02615725677762
"47",2009,1.72376182363064
"48",2010,-5.6785568698904
"49",2011,4.29725886109626
"50",2012,-2.87408068120493
"51",2013,-1.31895433000625
"52",2014,-5.41234874370772
"53",2015,-11.6702304522927
"54",2016,-7.27343421999469
"55",2017,3.9995911989702
"56",2018,-18.9627619609819
"57",2019,-17.1877055561939
"58",2020,-27.849585108369
