"","year","SaA_anomaly"
"1",1963,14.0061078395851
"2",1964,9.57659991352749
"3",1965,-9.0055378688994
"4",1966,4.39029001305233
"5",1967,17.8985407764889
"6",1968,16.2362727780783
"7",1969,15.357434997813
"8",1970,-2.04875457818545
"9",1971,12.2993111809718
"10",1972,11.9087657011027
"11",1973,26.5083462354607
"12",1974,11.7634215462574
"13",1975,9.75788811471698
"14",1976,4.98906880161307
"15",1977,30.4427341402512
"16",1978,20.2404569843343
"17",1979,20.8639986665931
"18",1980,3.55116234282594
"19",1981,17.0281108322004
"20",1982,14.3382970822345
"21",1983,17.2648278765144
"22",1984,4.49561457903764
"23",1985,10.1490614766098
"24",1986,14.4789867463191
"25",1987,13.1995420963579
"26",1988,16.3054998020057
"27",1989,4.67717046296447
"28",1990,-4.13884435023064
"29",1991,-4.81586528605963
"30",1992,-7.3455858668649
"31",1993,5.3330692597859
"32",1994,-6.19424757600819
"33",1995,0.215894386995024
"34",1996,9.18052662041658
"35",1997,5.67813190906465
"36",1998,-2.41862727350498
"37",1999,9.3033708153352
"38",2000,1.59130444525585
"39",2001,10.4853249926503
"40",2002,2.4654268396815
"41",2003,14.9127827171611
"42",2004,7.30818428266145
"43",2005,3.57133220827463
"44",2006,-2.54481717677954
"45",2007,-0.536084561719254
"46",2008,-10.5010255286489
"47",2009,0.205126509957226
"48",2010,-9.97227784371104
"49",2011,-5.49822819162979
"50",2012,-8.07103751125718
"51",2013,-5.15385214211467
"52",2014,-8.25469076868925
"53",2015,-15.6511913673449
"54",2016,-9.40991174783677
"55",2017,-1.63933966259734
"56",2018,-18.0694107490929
"57",2019,-13.9875994777119
"58",2020,-23.2976317281545
