"","age","year","meansize"
"1","0.2",1975,498.804379562044
"2","0.2",1976,441.153903623459
"3","0.2",1979,494.205536417661
"4","0.2",1980,482.859021215903
"5","0.2",1981,436.588536166843
"6","0.2",1982,452.496810961562
"7","0.2",1983,433.206492547043
"8","0.2",1984,489.533753818863
"9","0.2",1985,434.421906764809
"10","0.2",1986,445.924799270267
"11","0.2",1987,436.473309853105
"12","0.2",1988,421.012032884903
"13","0.2",1989,430.388584751477
"14","0.2",1990,443.283160621762
"15","0.2",1991,460.439781291562
"16","0.2",1992,451.948957088592
"17","0.2",1993,432.944242307414
"18","0.2",1994,413.275
"19","0.2",1995,438.515414258189
"20","0.2",2003,426.790832049307
"21","0.2",2005,441.904676616915
"22","0.2",2007,417.59433560477
"23","0.2",2009,415.498495486459
"24","0.3",1962,568.653643490554
"25","0.3",1968,558.108275328693
"26","0.3",1969,603.964610559331
"27","0.3",1972,577
"28","0.3",1973,588
"29","0.3",1974,574.247724893291
"30","0.3",1975,565.562884568053
"31","0.3",1976,544.18236321957
"32","0.3",1977,561.282668807421
"33","0.3",1978,554.68458178798
"34","0.3",1979,553.305743511427
"35","0.3",1980,553.81825683792
"36","0.3",1981,556.967148836462
"37","0.3",1982,552.09450466585
"38","0.3",1983,560.855054133066
"39","0.3",1984,563.184387564712
"40","0.3",1985,557.080242910628
"41","0.3",1986,548.720312379849
"42","0.3",1987,542.785472867205
"43","0.3",1988,536.185937130256
"44","0.3",1989,557.329680001463
"45","0.3",1990,545.238752826984
"46","0.3",1991,547.833404959241
"47","0.3",1992,554.256078515113
"48","0.3",1993,553.633217735019
"49","0.3",1994,550.760495691875
"50","0.3",2002,542.513321807694
"51","0.3",2004,531.92889372031
"52","0.3",2006,544.228828476433
"53","0.3",2007,563.093983630703
"54","0.3",2008,539.899576394975
"55","0.3",2009,528.748209074025
"56","0.3",2010,543.601901575843
"57","0.3",2011,527.078651685393
"58","0.3",2012,534.783103168156
"59","0.3",2014,509
"60","0.4",1966,591
"61","0.4",1973,615.340142095915
"62","0.4",1977,605.017233809001
"63","0.4",1978,594.430136556036
"64","0.4",1980,587.798776953397
"65","0.4",1981,603.957227634084
"66","0.4",1982,599.875051425213
"67","0.4",1983,594.074892395983
"68","0.4",1984,602.487958391437
"69","0.4",1985,596.984907681643
"70","0.4",1986,599.426953609297
"71","0.4",1987,573.976530954426
"72","0.4",1988,592.36548039482
"73","0.4",1989,576.07757369501
"74","0.4",1990,573.144959632947
"75","0.4",1991,590.237518910741
"76","0.4",1992,607.094646271511
"77","0.4",2001,584.422207979491
"78","0.4",2003,573.742495383804
"79","0.4",2005,561.757518600021
"80","0.4",2006,615
"81","0.4",2007,594.765682281059
"82","0.4",2009,595.133215962441
