"","age","year","meansize"
"1","0.2",1978,498.804379562044
"2","0.2",1979,441.153903623459
"3","0.2",1982,494.205536417661
"4","0.2",1983,482.859021215903
"5","0.2",1984,436.588536166843
"6","0.2",1985,452.496810961562
"7","0.2",1986,433.206492547043
"8","0.2",1987,489.533753818863
"9","0.2",1988,434.421906764809
"10","0.2",1989,445.924799270267
"11","0.2",1990,436.473309853105
"12","0.2",1991,421.012032884903
"13","0.2",1992,430.388584751477
"14","0.2",1993,443.283160621762
"15","0.2",1994,460.439781291562
"16","0.2",1995,451.948957088592
"17","0.2",1996,432.944242307414
"18","0.2",1997,413.275
"19","0.2",1998,438.515414258189
"20","0.2",2006,426.790832049307
"21","0.2",2008,441.904676616915
"22","0.2",2010,417.59433560477
"23","0.2",2012,415.498495486459
"24","0.3",1966,568.653643490554
"25","0.3",1972,558.108275328693
"26","0.3",1973,603.964610559331
"27","0.3",1976,577
"28","0.3",1977,588
"29","0.3",1978,574.247724893291
"30","0.3",1979,565.562884568053
"31","0.3",1980,544.18236321957
"32","0.3",1981,561.282668807421
"33","0.3",1982,554.68458178798
"34","0.3",1983,553.305743511427
"35","0.3",1984,553.81825683792
"36","0.3",1985,556.967148836462
"37","0.3",1986,552.09450466585
"38","0.3",1987,560.855054133066
"39","0.3",1988,563.184387564712
"40","0.3",1989,557.080242910628
"41","0.3",1990,548.720312379849
"42","0.3",1991,542.785472867205
"43","0.3",1992,536.185937130256
"44","0.3",1993,557.329680001463
"45","0.3",1994,545.238752826984
"46","0.3",1995,547.833404959241
"47","0.3",1996,554.256078515113
"48","0.3",1997,553.633217735019
"49","0.3",1998,550.760495691875
"50","0.3",2006,542.513321807694
"51","0.3",2008,531.92889372031
"52","0.3",2010,544.228828476433
"53","0.3",2011,563.093983630703
"54","0.3",2012,539.899576394975
"55","0.3",2013,528.748209074025
"56","0.3",2014,543.601901575843
"57","0.3",2015,527.078651685393
"58","0.3",2016,534.783103168156
"59","0.3",2018,509
"60","0.4",1971,591
"61","0.4",1978,615.340142095915
"62","0.4",1982,605.017233809001
"63","0.4",1983,594.430136556036
"64","0.4",1985,587.798776953397
"65","0.4",1986,603.957227634084
"66","0.4",1987,599.875051425213
"67","0.4",1988,594.074892395983
"68","0.4",1989,602.487958391437
"69","0.4",1990,596.984907681643
"70","0.4",1991,599.426953609297
"71","0.4",1992,573.976530954426
"72","0.4",1993,592.36548039482
"73","0.4",1994,576.07757369501
"74","0.4",1995,573.144959632947
"75","0.4",1996,590.237518910741
"76","0.4",1997,607.094646271511
"77","0.4",2006,584.422207979491
"78","0.4",2008,573.742495383804
"79","0.4",2010,561.757518600021
"80","0.4",2011,615
"81","0.4",2012,594.765682281059
"82","0.4",2014,595.133215962441
"83","1.1",1963,345.673923041545
"84","1.1",1964,361
"85","1.1",1965,334.998448008277
"86","1.1",1967,376.766148814391
"87","1.1",1968,359.133971646998
"88","1.1",1969,333.616343798709
"89","1.1",1970,348
"90","1.1",1971,361.212968138625
"91","1.1",1972,431
"92","1.1",1973,392.046373626374
"93","1.1",1974,529.031298904538
"94","1.1",1975,344.553617571059
"95","1.1",1976,330
"96","1.1",1977,356.719959524412
"97","1.1",1978,470.896565397755
"98","1.1",1979,326.291452314998
"99","1.1",1980,392.706635358279
"100","1.1",1981,350
"101","1.1",1982,368.296843795277
"102","1.1",1983,357.88286682118
"103","1.1",1984,338.283963771977
"104","1.1",1985,378.691353520613
"105","1.1",1986,314.316916488223
"106","1.1",1987,351.18253968254
"107","1.1",1988,353.120157736024
"108","1.1",1989,339.863069139966
"109","1.1",1990,305.117647058824
"110","1.1",1991,332.590804597701
"111","1.1",1992,352.482959542656
"112","1.1",1993,332.308860759494
"113","1.1",1994,351.160726786737
"114","1.1",1995,409.622495744402
"115","1.1",1996,386.330823023131
"116","1.1",1997,347.450464720818
"117","1.1",1998,355.540464082444
