"","age","year","meansize"
"1","0.2",1982,428.418490935079
"2","0.2",1983,451.098207118009
"3","0.2",1984,406.963886770445
"4","0.2",1985,438.484148786101
"5","0.2",1986,425.875229408437
"6","0.2",1987,484.615283074215
"7","0.2",1988,421.01078046243
"8","0.2",1989,431.969268360516
"9","0.2",1990,423.925799568942
"10","0.2",1991,414.368457334187
"11","0.2",1992,413.522990701821
"12","0.2",1993,424.272284224377
"13","0.2",1994,436.381659211061
"14","0.2",1995,434.951980592233
"15","0.2",1996,425.891212960115
"16","0.2",1997,413.275
"17","0.2",1998,445
"18","0.2",2006,423.691787835347
"19","0.2",2008,449.359090909091
"20","0.2",2010,417.938198324022
"21","0.2",2012,420
"22","0.3",1980,543
"23","0.3",1981,566.649285837205
"24","0.3",1982,564.28406302395
"25","0.3",1983,553.51792805117
"26","0.3",1984,549.14856997856
"27","0.3",1985,547.826137754534
"28","0.3",1986,546.324070477386
"29","0.3",1987,556.872641079406
"30","0.3",1988,560.241057092469
"31","0.3",1989,557.617541075497
"32","0.3",1990,548.76106078391
"33","0.3",1991,545.340710576486
"34","0.3",1992,537.875052679147
"35","0.3",1993,570.922729166156
"36","0.3",1994,544.338105694627
"37","0.3",1995,548.254671840856
"38","0.3",1996,560.327795835824
"39","0.3",1997,560.280508271398
"40","0.3",1998,553.840430709332
"41","0.3",2006,546.645005629725
"42","0.3",2008,563.167902542373
"43","0.3",2010,535.512504402959
"44","0.3",2011,569.06631841926
"45","0.3",2012,551.990642002176
"46","0.3",2013,539.566992014197
"47","0.3",2014,559.846020761246
"48","0.3",2015,538.163614581551
"49","0.4",1982,622.238650848122
"50","0.4",1983,589.006627198021
"51","0.4",1985,577.071651757052
"52","0.4",1986,588.971520687802
"53","0.4",1987,624.927835051546
"54","0.4",1988,589.617485302484
"55","0.4",1989,600.080157687254
"56","0.4",1990,601.522040933162
"57","0.4",1991,599.531891891892
"58","0.4",1992,579.180805305323
"59","0.4",1993,600.823026539639
"60","0.4",1994,586.441536932759
"61","0.4",1995,583.588833420914
"62","0.4",1996,588.025167785235
"63","0.4",1997,619.571428571429
"64","0.4",2006,580
"65","0.4",2008,575.541809644212
"66","0.4",2010,581.00146713615
"67","0.4",2011,615
"68","0.4",2012,608.275295326143
"69","0.4",2014,601.875570776256
"70","1.1",1963,344.527117031399
"71","1.1",1964,361
"72","1.1",1965,334.666666666667
"73","1.1",1967,376.766148814391
"74","1.1",1968,359.350444745967
"75","1.1",1969,333.700639143203
"76","1.1",1970,366.587010824313
