"","age","year","meansize"
"1","0.2",1978,498.804379562044
"2","0.2",1979,441.153903623459
"3","0.2",1982,532
"4","0.2",1983,498.7245689079
"5","0.2",1984,519
"6","0.2",1985,478.899069734909
"7","0.2",1986,445.682172544968
"8","0.2",1987,499.607089215981
"9","0.2",1988,459.476592607486
"10","0.2",1989,461.911952118702
"11","0.2",1990,450.552889990764
"12","0.2",1991,425.074674053777
"13","0.2",1992,458.872987092809
"14","0.2",1993,454.920169446019
"15","0.2",1994,524.429962141698
"16","0.2",1995,470.705235623493
"17","0.2",1996,439.199136167311
"18","0.2",1998,429.77149321267
"19","0.2",2006,432
"20","0.2",2008,436.099469026549
"21","0.2",2010,417.056768558952
"22","0.2",2012,409
"23","0.3",1966,568.653643490554
"24","0.3",1972,558.108275328693
"25","0.3",1973,603.964610559331
"26","0.3",1976,577
"27","0.3",1977,588
"28","0.3",1978,580.086374872764
"29","0.3",1979,565.562884568053
"30","0.3",1980,547.472832019406
"31","0.3",1981,559.40527361387
"32","0.3",1982,551.347933648265
"33","0.3",1983,553.232886207658
"34","0.3",1984,558.793577963678
"35","0.3",1985,566.460813960207
"36","0.3",1986,557.277565553458
"37","0.3",1987,562.205913359391
"38","0.3",1988,565.901840930683
"39","0.3",1989,556.666936938911
"40","0.3",1990,548.245269402553
"41","0.3",1991,541.148887115554
"42","0.3",1992,534.927628475396
"43","0.3",1993,550.022417147918
"44","0.3",1994,544.974821036454
"45","0.3",1995,547.444929200153
"46","0.3",1996,551.315496778985
"47","0.3",1997,544.670977074475
"48","0.3",1998,547.286910822795
"49","0.3",2006,542.051945252721
"50","0.3",2008,519.71103929733
"51","0.3",2010,547.57871937187
"52","0.3",2011,558.936088798937
"53","0.3",2012,543.025695426686
"54","0.3",2013,518
"55","0.3",2014,527.038931090613
"56","0.3",2015,521.856152233511
"57","0.3",2016,534.783103168156
"58","0.3",2018,509
"59","0.4",1971,591
"60","0.4",1978,615.340142095915
"61","0.4",1982,596.917942451351
"62","0.4",1983,594.931585526262
"63","0.4",1985,610.293869491069
"64","0.4",1986,607.901838755304
"65","0.4",1987,598.987768514574
"66","0.4",1988,597.376879009725
"67","0.4",1989,604.529985372989
"68","0.4",1990,588.16029507284
"69","0.4",1991,599.387375449148
"70","0.4",1992,570.561352120391
"71","0.4",1993,586.093082673564
"72","0.4",1994,567.484895642622
"73","0.4",1995,567.864403852541
"74","0.4",1996,591.630855935188
"75","0.4",1997,593.47
"76","0.4",2006,585.260960731986
"77","0.4",2008,573
"78","0.4",2010,551.067481662592
"79","0.4",2012,574.934154310128
"80","0.4",2014,588
"81","1.2",1963,518.18117399067
"82","1.2",1964,514.612099034919
"83","1.2",1965,510.70265936895
"84","1.2",1966,510.31746831009
"85","1.2",1967,516.727350314299
"86","1.2",1968,516.93787127436
"87","1.2",1969,520.536631807275
"88","1.2",1970,511.890638705348
"89","1.2",1971,522.898971946051
"90","1.2",1972,512.359271632643
"91","1.2",1973,530.561055296904
"92","1.2",1974,523.427706445116
"93","1.2",1975,522.852936133562
"94","1.2",1976,509.699363989139
"95","1.2",1977,531.860545765338
"96","1.2",1978,523.384956273207
"97","1.2",1979,528.781766881482
"98","1.2",1980,513.344166866568
"99","1.2",1981,525.205324719149
"100","1.2",1982,517.302879218913
"101","1.2",1983,523.237918587071
"102","1.2",1984,503.326304495236
"103","1.2",1985,519.431012839019
"104","1.2",1986,521.512940675937
"105","1.2",1987,514.964035094687
"106","1.2",1988,516.605926390407
"107","1.2",1989,505.733751236483
"108","1.2",1990,495.666200713722
"109","1.2",1991,498.747938278731
"110","1.2",1992,503.545852425581
"111","1.2",1993,510.987498469902
"112","1.2",1994,497.764752822039
"113","1.2",1995,508.821177682151
"114","1.2",1996,506.606032407948
"115","1.2",1997,505.218291220974
"116","1.2",1998,498.163138585269
"117","1.2",1999,514.878149730904
